date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-09-03,sh.000001,2925.942,2930.153,2915.197,2930.153,2924.106,18900121600.0,225070157824.0,3,0.547465,1,0.2068,0
2019-09-04,sh.000001,2927.747,2957.411,2925.882,2957.411,2930.153,22549590784.0,251212693504.0,3,0.653169,1,0.9303,0
2019-09-05,sh.000001,2972.661,3015.844,2972.661,2985.864,2957.411,30543870720.0,340200665088.0,3,0.884732,1,0.9621,0
2019-09-06,sh.000001,2996.621,2999.943,2981.598,2999.601,2985.864,21682603520.0,258318745600.0,3,0.627755,1,0.4601,0
2019-09-09,sh.000001,3023.778,3026.239,3005.694,3024.738,2999.601,24337775104.0,286236532736.0,3,0.704628,1,0.838,0
2019-09-10,sh.000001,3027.41,3027.41,3005.382,3021.202,3024.738,24001294592.0,275321753600.0,3,0.694773,1,-0.1169,0
2019-09-11,sh.000001,3029.933,3030.557,3004.215,3008.811,3021.202,22983736320.0,263389556736.0,3,0.665313,1,-0.4101,0
2019-09-12,sh.000001,3016.626,3033.473,3005.194,3031.235,3008.811,19696870144.0,224576024576.0,3,0.570153,1,0.7453,0
2019-09-16,sh.000001,3041.922,3042.928,3020.049,3030.754,3031.235,22187895808.0,237442265088.0,3,0.64221,1,-0.0159,0
2019-09-17,sh.000001,3023.71,3023.71,2970.57,2978.117,3030.754,22333806080.0,237738934272.0,3,0.646327,1,-1.7368,0
2019-09-18,sh.000001,2984.083,2996.402,2982.4,2985.658,2978.117,16804669952.0,199953633280.0,3,0.486314,1,0.2532,0
2019-09-19,sh.000001,2992.922,2999.278,2975.397,2999.278,2985.658,16269061632.0,193206550528.0,3,0.470814,1,0.4562,0
2019-09-20,sh.000001,3004.814,3011.34,2996.192,3006.446,2999.278,18214530304.0,218390585344.0,3,0.52703,1,0.239,0
2019-09-23,sh.000001,2998.399,2998.399,2960.827,2977.076,3006.446,16813945088.0,199130550272.0,3,0.486477,1,-0.9769,0
2019-09-24,sh.000001,2979.475,3002.896,2973.76,2985.34,2977.076,16390276096.0,206245806080.0,3,0.474097,1,0.2776,0
2019-09-25,sh.000001,2977.667,2977.667,2955.432,2955.432,2985.34,16854313472.0,203782754304.0,3,0.487505,1,-1.0018,0
2019-09-26,sh.000001,2964.477,2970.035,2928.258,2929.087,2955.432,18893254144.0,216277561344.0,3,0.546479,1,-0.8914,0
2019-09-27,sh.000001,2929.486,2939.078,2920.93,2932.167,2929.087,13290577664.0,153311002624.0,3,0.384209,1,0.1052,0
2019-09-30,sh.000001,2927.916,2936.482,2905.189,2905.189,2932.167,11664681216.0,142591700992.0,3,0.337195,1,-0.9201,0
2019-10-08,sh.000001,2905.755,2933.016,2905.755,2913.57,2905.189,12553581312.0,151980793856.0,3,0.362423,1,0.2885,0
2019-10-09,sh.000001,2902.075,2924.856,2891.539,2924.856,2913.57,13042414336.0,150940229632.0,3,0.376528,1,0.3874,0
2019-10-10,sh.000001,2923.706,2949.24,2918.228,2947.71,2924.856,13423975168.0,157159976960.0,3,0.387534,1,0.7814,0
2019-10-11,sh.000001,2954.818,2980.787,2943.013,2973.655,2947.71,16120374528.0,182747394048.0,3,0.465375,1,0.8802,0
2019-10-14,sh.000001,2993.961,3026.383,2989.812,3007.883,2973.655,20861480192.0,221201756160.0,3,0.602169,1,1.151,0
2019-10-15,sh.000001,3005.664,3005.664,2986.303,2991.045,3007.883,15537690368.0,169531932672.0,3,0.448403,1,-0.5598,0
2019-10-16,sh.000001,2992.61,3010.424,2975.923,2978.712,2991.045,14988549632.0,166791548928.0,3,0.432356,1,-0.4123,0
2019-10-17,sh.000001,2979.992,2986.719,2969.568,2977.334,2978.712,12252761344.0,136051253248.0,3,0.353441,1,-0.0463,0
2019-10-18,sh.000001,2982.341,2987.203,2933.242,2938.141,2977.334,14999067904.0,162018271232.0,3,0.432561,1,-1.3164,0
2019-10-21,sh.000001,2933.896,2940.324,2917.688,2939.617,2938.141,13247510784.0,145685880832.0,3,0.38182,1,0.0502,0
2019-10-22,sh.000001,2945.6,2954.641,2934.387,2954.379,2939.617,11748204800.0,130381742080.0,3,0.338607,1,0.5022,0
2019-10-23,sh.000001,2952.969,2957.299,2934.627,2941.618,2954.379,12381288192.0,139653652480.0,3,0.356853,1,-0.4319,0
2019-10-24,sh.000001,2944.006,2953.044,2927.061,2940.921,2941.618,12654029056.0,141667233792.0,3,0.364714,1,-0.0237,0
2019-10-25,sh.000001,2940.474,2958.24,2920.519,2954.932,2940.921,13686070528.0,160224092160.0,3,0.394451,1,0.4764,0
2019-10-28,sh.000001,2958.686,2980.128,2956.96,2980.049,2954.932,17373148160.0,198817013760.0,3,0.500695,1,0.85,0
2019-10-29,sh.000001,2979.036,2979.036,2954.176,2954.176,2980.049,16611005696.0,195288080384.0,3,0.478501,1,-0.8682,0
2019-10-30,sh.000001,2949.463,2953.298,2934.827,2939.32,2954.176,15879811072.0,181529501696.0,3,0.457433,1,-0.5029,0
2019-10-31,sh.000001,2944.842,2946.752,2923.516,2929.056,2939.32,16157148416.0,181801938944.0,3,0.465421,1,-0.3492,0
2019-11-01,sh.000001,2924.34,2959.833,2917.145,2958.199,2929.056,15990737408.0,175630839808.0,3,0.460617,1,0.994962,0
2019-11-04,sh.000001,2964.576,2983.058,2964.576,2975.491,2958.199,16724836352.0,188710096896.0,3,0.481609,1,0.584545,0
2019-11-05,sh.000001,2977.704,3008.314,2968.032,2991.562,2975.491,17989159424.0,203691630592.0,3,0.518017,1,0.540113,0
2019-11-06,sh.000001,2992.039,2995.562,2969.724,2978.595,2991.562,16526354688.0,183985238016.0,3,0.476011,1,-0.433452,0
2019-11-07,sh.000001,2978.153,2988.955,2969.12,2978.714,2978.595,13695267840.0,155834875904.0,3,0.394467,1,0.003995,0
2019-11-08,sh.000001,2993.977,2998.759,2962.844,2964.184,2978.714,14974210816.0,173867229184.0,3,0.431255,1,-0.487794,0
2019-11-11,sh.000001,2949.961,2949.961,2906.769,2909.974,2964.184,15791610624.0,166285139968.0,3,0.45469,1,-1.828834,0
2019-11-12,sh.000001,2912.995,2918.303,2891.51,2914.823,2909.974,12972915456.0,139060727808.0,3,0.373409,1,0.166634,0
2019-11-13,sh.000001,2913.019,2913.861,2893.971,2905.24,2914.823,12976584192.0,146943635456.0,3,0.373513,1,-0.328768,0
2019-11-14,sh.000001,2907.735,2917.374,2899.618,2909.869,2905.24,12914544896.0,151576182784.0,3,0.371728,1,0.159333,0
2019-11-15,sh.000001,2911.35,2917.829,2891.204,2891.343,2909.869,13551946240.0,152576393216.0,3,0.389974,1,-0.636661,0
2019-11-18,sh.000001,2889.549,2911.378,2884.088,2909.2,2891.343,12443317760.0,144677412864.0,3,0.357913,1,0.617602,0
2019-11-19,sh.000001,2904.278,2933.99,2902.855,2933.99,2909.2,13541760512.0,155770740736.0,3,0.388319,1,0.852124,0
2019-11-20,sh.000001,2928.106,2930.492,2907.422,2911.053,2933.99,13735752960.0,158543196160.0,3,0.393881,1,-0.781768,0
2019-11-21,sh.000001,2902.552,2910.36,2891.531,2903.637,2911.053,12345860608.0,139851206656.0,3,0.35393,1,-0.254753,0
2019-11-22,sh.000001,2906.243,2925.017,2873.99,2885.288,2903.637,15862336512.0,180593827840.0,3,0.454717,1,-0.631932,0
2019-11-25,sh.000001,2885.613,2906.609,2880.654,2906.168,2885.288,17858742784.0,174234583040.0,3,0.511791,1,0.723671,0
2019-11-26,sh.000001,2912.52,2915.041,2897.927,2907.06,2906.168,17000466432.0,165496766464.0,3,0.487293,1,0.030693,0
2019-11-27,sh.000001,2905.395,2914.486,2893.417,2903.194,2907.06,13386220544.0,137449697280.0,3,0.383431,1,-0.132987,0
2019-11-28,sh.000001,2902.364,2909.839,2883.433,2889.693,2903.194,11952246784.0,122616545280.0,3,0.342338,1,-0.46504,0
2019-11-29,sh.000001,2885.974,2892.388,2858.58,2871.981,2889.693,12261296896.0,140371316736.0,3,0.351132,1,-0.612937,0
2019-12-02,sh.000001,2874.448,2888.889,2870.242,2875.807,2871.981,12875580672.0,139351760896.0,3,0.368612,1,0.133218,0
2019-12-03,sh.000001,2869.882,2884.855,2857.32,2884.698,2875.807,12377874176.0,135278612480.0,3,0.354411,1,0.309165,0
2019-12-04,sh.000001,2876.907,2882.498,2869.421,2878.115,2884.698,12554365184.0,135879221248.0,3,0.359458,1,-0.228204,0
2019-12-05,sh.000001,2886.516,2902.002,2885.079,2899.468,2878.115,14316309504.0,159736594432.0,3,0.409906,1,0.741909,0
2019-12-06,sh.000001,2902.278,2912.013,2894.751,2912.013,2899.468,13412887808.0,149507334144.0,3,0.384016,1,0.432666,0
2019-12-09,sh.000001,2914.457,2919.588,2905.25,2914.477,2912.013,16079652608.0,174546477056.0,3,0.460063,1,0.084615,0
2019-12-10,sh.000001,2908.943,2919.201,2902.789,2917.315,2914.477,17012399872.0,180617289728.0,3,0.486765,1,0.097376,0
2019-12-11,sh.000001,2922.602,2928.256,2915.0,2924.417,2917.315,16554108672.0,175716089856.0,3,0.473378,1,0.243443,0
2019-12-12,sh.000001,2926.341,2926.341,2913.475,2915.698,2924.417,15176080384.0,166044164096.0,3,0.433972,1,-0.298145,0
2019-12-13,sh.000001,2937.776,2969.98,2935.849,2967.676,2915.698,21197858560.0,234036543488.0,3,0.606294,1,1.782695,0
2019-12-16,sh.000001,2970.969,2984.641,2958.706,2984.392,2967.676,21186211840.0,237666762752.0,3,0.605832,1,0.563269,0
2019-12-17,sh.000001,2985.261,3039.383,2982.495,3022.421,2984.392,29303225344.0,302090899456.0,3,0.837834,1,1.274263,0
2019-12-18,sh.000001,3021.465,3033.233,3011.72,3017.044,3022.421,24408969216.0,259173629952.0,3,0.697822,1,-0.177904,0
2019-12-19,sh.000001,3017.153,3021.417,3007.992,3017.065,3017.044,20862426368.0,220688293888.0,3,0.59643,1,0.000696,0
2019-12-20,sh.000001,3019.639,3027.483,3002.26,3004.937,3017.065,21507575552.0,223305035776.0,3,0.614849,1,-0.40198,0
2019-12-23,sh.000001,2999.035,3009.338,2960.435,2962.751,3004.937,20571661824.0,218484273152.0,3,0.587671,1,-1.40389,0
2019-12-24,sh.000001,2965.825,2983.819,2960.683,2982.68,2962.751,16303024896.0,167366668288.0,3,0.465892,1,0.672652,0
2019-12-25,sh.000001,2980.427,2988.292,2970.657,2981.88,2982.68,17565402880.0,189608562688.0,3,0.501541,1,-0.026822,0
2019-12-26,sh.000001,2981.248,3007.354,2980.396,3007.354,2981.88,18244042496.0,195586080768.0,3,0.520911,1,0.854293,0
2019-12-27,sh.000001,3006.851,3036.112,3003.63,3005.035,3007.354,24710277888.0,258118737920.0,3,0.705538,1,-0.077111,0
2019-12-30,sh.000001,2998.168,3041.396,2983.343,3040.023,3005.035,24806652928.0,267382992896.0,3,0.707919,1,1.164313,0
2019-12-31,sh.000001,3036.385,3051.677,3030.512,3050.124,3040.023,21742902272.0,226763993088.0,3,0.619515,1,0.332267,0
2020-01-02,sh.000001,3066.335,3098.1,3066.335,3085.197,3050.124,29247020800.0,327197122560.0,3,0.83333,1,1.149888,0
2020-01-03,sh.000001,3089.022,3093.819,3074.517,3083.785,3085.197,26149666816.0,289991708672.0,3,0.745078,1,-0.045767,0
2020-01-06,sh.000001,3070.908,3107.203,3065.308,3083.408,3083.785,31257584128.0,331182551040.0,3,0.888382,1,-0.012225,0
2020-01-07,sh.000001,3085.488,3105.45,3084.329,3104.801,3083.408,27658311168.0,288159227904.0,3,0.0,1,0.69381,0
2020-01-08,sh.000001,3094.238,3094.238,3059.131,3066.892,3104.801,29787255296.0,306517393408.0,3,0.84691,1,-1.22098,0
2020-01-09,sh.000001,3082.639,3097.329,3080.131,3094.881,3066.892,24343564800.0,271716020224.0,3,0.691776,1,0.912618,0
2020-01-10,sh.000001,3102.293,3105.224,3081.396,3092.29,3094.881,21044246272.0,241555668992.0,3,0.597972,1,-0.083719,0
2020-01-13,sh.000001,3091.493,3115.569,3075.383,3115.569,3092.29,21062100480.0,258524057600.0,3,0.598467,1,0.752808,0
2020-01-14,sh.000001,3120.666,3127.169,3105.604,3106.82,3115.569,22997377024.0,271542439936.0,3,0.653227,1,-0.280815,0
2020-01-15,sh.000001,3103.174,3107.942,3082.042,3090.037,3106.82,20231302400.0,232913444864.0,3,0.574618,1,-0.540199,0
2020-01-16,sh.000001,3095.734,3096.371,3070.884,3074.081,3090.037,20337547520.0,236843360256.0,3,0.577629,1,-0.516369,0
2020-01-17,sh.000001,3081.464,3091.951,3067.252,3075.495,3074.081,19030429952.0,242273046528.0,3,0.540477,1,0.045997,0
2020-01-20,sh.000001,3082.113,3096.31,3070.48,3095.787,3075.495,21049334016.0,271122456576.0,3,0.597671,1,0.659796,0
2020-01-21,sh.000001,3085.789,3085.789,3051.23,3052.141,3095.787,23483073792.0,286268096512.0,3,0.665647,1,-1.409852,0
2020-01-22,sh.000001,3038.486,3069.252,3006.267,3060.754,3052.141,22385286400.0,278456922112.0,3,0.634245,1,0.282195,0
2020-01-23,sh.000001,3037.952,3045.04,2955.346,2976.528,3060.754,27276323328.0,327490359296.0,3,0.772784,1,-2.751806,0
2020-02-03,sh.000001,2716.697,2766.577,2716.697,2746.605,2976.528,21591210240.0,257019596800.0,3,0.610417,1,-7.724537,0
2020-02-04,sh.000001,2685.269,2786.164,2685.269,2783.287,2746.605,36404620032.0,374068465664.0,3,1.029215,1,1.33554,0
2020-02-05,sh.000001,2792.371,2842.742,2778.864,2818.087,2783.287,30976182272.0,349184114688.0,3,0.875541,1,1.25032,0
2020-02-06,sh.000001,2826.885,2876.587,2807.609,2866.509,2818.087,31639214336.0,358582591488.0,3,0.894281,1,1.718258,0
2020-02-07,sh.000001,2858.932,2875.963,2838.77,2875.963,2866.509,30947964160.0,362384162816.0,3,0.87384,1,0.329809,0
2020-02-10,sh.000001,2860.499,2891.847,2851.05,2890.487,2875.963,29492978432.0,341520400384.0,3,0.833572,1,0.505013,0
2020-02-11,sh.000001,2894.541,2913.815,2882.242,2901.674,2890.487,26916833536.0,302956847104.0,3,0.759626,1,0.387028,0
2020-02-12,sh.000001,2895.556,2926.899,2892.424,2926.899,2901.674,24873342976.0,297534418944.0,3,0.701956,1,0.869326,0
2020-02-13,sh.000001,2927.144,2935.406,2901.242,2906.073,2926.899,27480484352.0,334526328832.0,3,0.775509,1,-0.711538,0
2020-02-14,sh.000001,2899.865,2926.942,2899.573,2917.007,2906.073,25065062656.0,308080369664.0,3,0.707292,1,0.376247,0
2020-02-17,sh.000001,2924.991,2983.637,2924.991,2983.622,2917.007,31319800832.0,367014338560.0,3,0.883068,1,2.283676,0
2020-02-18,sh.000001,2981.409,2990.6,2960.775,2984.971,2983.622,31166591232.0,374998560768.0,3,0.877975,1,0.045214,0
2020-02-19,sh.000001,2979.522,2998.271,2971.821,2975.401,2984.971,31514115072.0,381331161088.0,3,0.887751,1,-0.320606,0
2020-02-20,sh.000001,2981.88,3031.37,2968.445,3030.154,2975.401,34573288192.0,413761363968.0,3,0.973765,1,1.840189,0
2020-02-21,sh.000001,3022.245,3058.898,3020.141,3039.669,3030.154,36455727616.0,445062078464.0,3,1.026663,1,0.31401,0
2020-02-24,sh.000001,3027.892,3042.182,3007.355,3031.233,3039.669,37043004416.0,451601362944.0,3,1.042459,1,-0.27753,0
2020-02-25,sh.000001,2982.069,3016.945,2943.716,3013.05,3031.233,44162276096.0,513128644608.0,3,1.242997,1,-0.599855,0
2020-02-26,sh.000001,2978.419,3028.778,2974.942,2987.928,3013.05,46904955136.0,495341449216.0,3,1.32018,1,-0.833773,0
2020-02-27,sh.000001,2992.491,3009.457,2980.477,2991.328,2987.928,35052365824.0,395955642368.0,3,0.985601,1,0.113791,0
2020-02-28,sh.000001,2924.64,2948.126,2878.544,2880.303,2991.328,40121691392.0,432657776640.0,3,1.127917,1,-3.711562,0
2020-03-02,sh.000001,2899.31,2982.506,2899.31,2970.931,2880.303,36733336832.0,397244203008.0,3,1.031936,1,3.146475,0
2020-03-03,sh.000001,3006.888,3026.842,2976.623,2992.896,2970.931,41010804736.0,447053680640.0,3,1.152281,1,0.739331,0
2020-03-04,sh.000001,2981.806,3012.003,2974.358,3011.665,2992.896,35333827840.0,389893918720.0,3,0.992733,1,0.627118,0
2020-03-05,sh.000001,3036.154,3074.257,3022.926,3071.677,3011.665,44542580736.0,482770472960.0,3,1.25146,1,1.992652,0
2020-03-06,sh.000001,3039.939,3052.443,3029.463,3034.511,3071.677,36206153216.0,377388544000.0,3,1.017242,1,-1.209958,0
2020-03-09,sh.000001,2987.1805,2989.2051,2940.7138,2943.2907,3034.5113,41456073600.0,438143854609.8,3,1.163864,1,-3.006105,0
2020-03-10,sh.000001,2918.9347,3000.2963,2904.7989,2996.7618,2943.2907,39329664800.0,425017184790.9,3,1.104678,1,1.816711,0
2020-03-11,sh.000001,3001.7616,3010.0286,2968.5174,2968.5174,2996.7618,35247097000.0,378766618968.3,3,0.989854,1,-0.942497,0
